timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-04-27T17:42:28,StyleGAN2-ADA-PyTorch-Generation,e2fe527a-1c22-44e2-95b9-322aea6a8eaa,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.6625340419996064,2.1435805181858283e-08,5.852725172256728e-09,0.2663,0.0036,3.0,4.567550452339572e-09,1.8503525419946526e-09,5.112052082646793e-08,5.753842382080218e-08,United States,USA,massachusetts,,,macOS-13.6.6-arm64-arm-64bit,3.10.17,3.0.0,8,Apple M1 Pro,1.0,Apple M1 Pro,-71.1984,42.509,16.0,machine,N,1.0
2025-04-27T17:43:22,StyleGAN2-ADA-PyTorch-Generation,f292f343-1266-4077-8b93-6cd6f06a3eb1,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.691920500001288,4.074092397731407e-08,1.1035157441039117e-08,3.2931000000000004,0.0073999999999999,3.0,5.539703130899944e-08,3.8625988124848735e-09,5.0097985828567e-08,1.093576159500513e-07,United States,USA,massachusetts,,,macOS-13.6.6-arm64-arm-64bit,3.10.17,3.0.0,8,Apple M1 Pro,1.0,Apple M1 Pro,-71.1984,42.509,16.0,machine,N,1.0
2025-04-27T17:44:15,StyleGAN2-ADA-PyTorch-Generation,9f6056ca-a416-4af8-a95a-0de7fba8de92,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.358882915999857,5.806437488812521e-07,1.0835163932162829e-07,0.1381,0.0186,3.0,6.779429375696905e-08,1.8390621690976938e-08,1.4723908333326107e-06,1.5585757487805566e-06,United States,USA,massachusetts,,,macOS-13.6.6-arm64-arm-64bit,3.10.17,3.0.0,8,Apple M1 Pro,1.0,Apple M1 Pro,-71.1984,42.509,16.0,machine,N,1.0
2025-04-27T17:57:28,StyleGAN2-ADA-PyTorch-Generation,4044176c-e610-4584-88a4-d9ada99b5f03,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.593898332997924,6.596943404263192e-07,1.179310565111345e-07,0.1645,0.0055,3.0,9.176310925303068e-08,5.8144827430502725e-09,1.6731873608296154e-06,1.7707649528256964e-06,United States,USA,massachusetts,,,macOS-13.6.6-arm64-arm-64bit,3.10.17,3.0.0,8,Apple M1 Pro,1.0,Apple M1 Pro,-71.1984,42.509,16.0,machine,N,1.0
2025-04-27T18:04:30,StyleGAN2-ADA-PyTorch-Generation,fe339ea0-aaf8-47b0-9a51-224c64036da4,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.55353620799724,6.263406283442011e-07,1.1278230750386645e-07,0.0798,0.0038,3.0,4.346932467959657e-08,3.962298966894095e-09,1.6338046174981475e-06,1.6812362411446382e-06,United States,USA,massachusetts,,,macOS-13.6.6-arm64-arm-64bit,3.10.17,3.0.0,8,Apple M1 Pro,1.0,Apple M1 Pro,-71.1984,42.509,16.0,machine,N,1.0
2025-04-27T18:06:42,StyleGAN2-ADA-PyTorch-Generation,42881806-b28e-41e0-ae18-edb6fa22dc32,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.6971901670040097,2.0188097870324543e-08,5.460389365549951e-09,0.0898,0.0035,3.0,1.533152082374727e-09,1.8121220833361606e-09,5.084402833745117e-08,5.4189302503162055e-08,United States,USA,massachusetts,,,macOS-13.6.6-arm64-arm-64bit,3.10.17,3.0.0,8,Apple M1 Pro,1.0,Apple M1 Pro,-71.1984,42.509,16.0,machine,N,1.0
2025-04-27T18:07:47,StyleGAN2-ADA-PyTorch-Generation,662ea4cc-7108-4e47-a8e7-74bd198d2161,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,5.575798000005307,7.09587319225976e-07,1.272620204722805e-07,0.4564,0.0036999999999999,3.0,2.51037669652132e-07,3.880961475691745e-09,1.6497700691616048e-06,1.9046887002894284e-06,United States,USA,massachusetts,,,macOS-13.6.6-arm64-arm-64bit,3.10.17,3.0.0,8,Apple M1 Pro,1.0,Apple M1 Pro,-71.1984,42.509,16.0,machine,N,1.0
2025-04-28T21:18:29,StyleGAN2-ADA-PyTorch-Generation,d5e57684-39e9-4da6-a3c5-c231bea96d35,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0019175119814462,4.0014708826190673e-08,2.0868035878456057e-05,276.38119723111026,0.0,10.0,1.042342500576221e-07,0.0,3.174044427901713e-09,1.0740829448552381e-07,United States,USA,massachusetts,,,Linux-4.18.0-513.11.1.el8_9.x86_64-x86_64-with-glibc2.28,3.10.4,3.0.0,1,Intel(R) Xeon(R) Gold 6438M,,,-71.0863,42.3687,4.0,machine,N,1.0
2025-04-28T21:19:46,StyleGAN2-ADA-PyTorch-Generation,1ed6d70e-295f-458b-8d8a-8836afa8bfe2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,0.0016637200023978,3.1848109048405094e-08,1.914270971227303e-05,272.4804368354604,0.0,10.0,8.302478863978814e-08,0.0,2.462552786002763e-09,8.54873414257909e-08,United States,USA,massachusetts,,,Linux-4.18.0-513.11.1.el8_9.x86_64-x86_64-with-glibc2.28,3.10.4,3.0.0,1,Intel(R) Xeon(R) Gold 6438M,,,-71.0863,42.3687,4.0,machine,N,1.0
2025-04-28T21:21:09,StyleGAN2-ADA-PyTorch-Generation,4b634b04-bf88-4696-80b8-708a394952e7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,11.91356263399939,0.0003578686529143,3.0038760353099963e-05,23.357359115535463,0.0,10.0,0.0009275079464502,0.0,3.3090363194464266e-05,0.0009605983096446,United States,USA,massachusetts,,,Linux-4.18.0-513.11.1.el8_9.x86_64-x86_64-with-glibc2.28,3.10.4,3.0.0,1,Intel(R) Xeon(R) Gold 6438M,,,-71.0863,42.3687,4.0,machine,N,1.0
